age,annual_income,purchase_frequency,average_basket_value,discount_usage_rate,online_purchase_share,recency_days,customer_segment
48,2210399.25,26,1446.05,0.54,0.57,12,0
65,953892.11,28,4054.13,0.28,0.02,10,3
32,2079954.67,80,2352.36,0.71,0.03,25,0
25,409984.58,34,2778.23,0.27,0.45,49,1
31,2139162.89,62,2220.8,0.9,0.82,49,0
40,449598.36,35,315.11,0.37,0.89,89,0
74,1083625.13,68,912.17,0.55,0.09,11,3
57,2023644.11,23,2283.15,0.05,0.54,62,3
38,502305.95,52,1125.01,0.43,0.91,118,1
33,688740.78,49,344.9,0.83,0.39,36,0
62,1847293.54,98,4233.88,0.81,0.83,39,2
35,1842085.86,59,4907.84,0.22,0.13,53,1
64,1656696.94,59,3986.4,0.23,0.94,90,3
70,1780778.84,22,4283.55,0.82,0.75,78,2
41,1425402.44,67,1285.69,0.93,0.94,103,2
43,741727.79,96,4807.07,0.1,0.68,56,1
42,962385.58,51,1064.94,0.45,0.36,104,1
62,576754.63,79,4762.01,0.34,0.94,1,3
58,2284858.82,61,4974.61,0.87,0.28,56,2
46,1520970.72,49,3587.44,0.08,0.33,118,1
32,1092000.83,37,4907.6,0.21,0.7,4,1
62,1235713.64,21,2890.74,0.75,0.77,30,2
18,2376115.85,74,1371.75,0.05,0.93,12,0
42,510375.8,8,2241.28,0.49,0.2,120,2
24,1527640.11,24,3008.45,0.44,0.8,35,0
26,1338838.4,51,458.1,0.33,0.74,77,0
41,1586917.45,95,3149.48,0.39,0.06,52,1
18,192558.93,19,4907.77,0.53,0.39,31,1
61,2199491.19,74,1031.53,0.16,0.28,102,3
25,2340477.96,51,3983.72,0.57,0.3,107,1
41,1478062.98,82,4548.7,0.81,0.98,87,2
28,1787129.44,79,4724.14,0.76,0.64,68,1
68,2317873.55,13,4804.66,0.15,0.72,52,3
34,1812010.79,94,2655.15,0.15,0.98,80,1
25,508466.75,20,4888.81,0.27,0.38,7,1
52,1504277.65,73,3810.82,0.36,0.8,22,3
52,1575780.36,65,892.19,0.41,0.43,93,3
50,1146707.08,14,2436.81,0.68,0.87,75,2
22,1880643.95,54,3619.82,0.06,0.18,56,1
59,2345762.48,7,1311.97,0.03,0.95,97,3
56,2325086.01,81,3239.01,0.39,0.22,58,3
75,1209472.52,98,3366.34,0.7,0.33,93,2
58,416109.41,74,897.23,0.19,0.76,64,3
45,2464376.82,85,2868.92,0.64,0.39,103,1
24,2121410.5,55,3880.97,0.26,0.61,12,1
26,442957.3,23,2544.59,0.89,0.44,7,0
25,2313978.42,46,159.31,0.9,0.74,55,0
29,2194256.45,39,144.29,0.3,0.23,103,0
51,1369269.43,50,1849.44,0.23,0.06,106,1
50,1539497.27,30,4638.35,0.41,0.3,62,2
65,1087656.35,73,1220.52,0.24,0.47,112,3
72,278689.85,97,3208.38,0.67,0.17,90,2
40,937713.52,68,1188.17,0.83,0.35,104,2
41,2036705.6,41,1676.18,0.67,0.4,73,0
54,160885.25,88,4255.41,0.82,0.06,105,2
52,933723.05,53,3671.42,0.4,0.58,98,1
61,1085696.43,25,567.46,0.16,0.88,109,3
57,1412879.67,78,2200.64,0.74,0.15,77,2
39,2311660.7,68,242.93,0.36,0.6,55,0
44,963913.09,9,2456.36,0.67,0.66,119,2
52,965340.02,74,3345.93,0.27,0.42,36,3
18,1883127.93,94,680.66,0.08,0.7,89,1
52,1212712.16,8,1515.54,0.99,0.41,24,0
54,677821.33,43,2049.4,0.16,0.5,44,3
64,1213232.86,39,4605.7,0.99,0.01,17,2
31,481014.0,5,4966.95,0.98,0.69,2,2
20,564509.42,28,320.07,0.79,0.66,13,0
18,1321164.27,61,3828.94,0.66,0.04,31,1
22,1134474.81,74,1921.45,0.58,0.37,93,1
43,2299887.87,45,2023.05,0.87,0.98,114,2
72,1001625.66,58,3795.9,0.29,0.42,28,3
31,1514382.62,50,4600.29,0.47,0.5,60,1
56,1635821.08,64,4759.55,0.62,0.91,27,2
44,180771.97,64,2927.9,0.41,0.72,15,1
26,1709312.82,61,1849.89,0.43,0.58,95,1
32,568384.52,35,3958.99,0.33,0.8,104,1
32,2408515.25,88,1329.91,0.56,0.86,79,0
43,499357.41,28,2863.96,0.85,0.46,33,2
59,1124366.69,93,1857.03,0.2,0.48,20,3
30,350571.72,40,3317.49,0.93,0.39,42,2
68,2492654.49,89,1277.95,0.69,0.97,12,3
49,1330158.27,34,1038.81,0.82,0.7,101,2
56,1549154.79,28,4599.37,0.56,0.08,73,2
66,307629.72,34,598.84,0.78,0.86,23,2
69,1912407.11,90,2579.19,0.02,0.48,72,3
49,643278.14,96,1182.18,0.82,0.07,96,2
21,2260427.58,11,290.76,0.04,0.55,112,0
47,632078.16,39,276.49,0.89,0.42,14,0
54,598116.14,59,958.59,0.99,0.88,91,2
40,235891.72,96,4347.17,0.29,0.2,25,1
56,1259357.32,18,1484.15,0.21,0.83,77,3
62,1477376.66,14,4757.25,0.77,0.56,119,2
32,304415.3,84,2949.95,0.25,0.05,85,1
60,1972489.9,20,2239.41,0.87,0.97,109,2
46,1215228.76,58,2942.44,0.1,0.51,31,3
53,1382317.13,99,2631.82,0.13,0.29,101,1
30,1185792.46,93,3818.0,0.98,0.47,112,1
49,1091793.19,81,1484.23,0.67,0.86,107,2
24,1465154.78,74,1829.95,0.85,0.3,54,0
68,514814.58,48,4481.06,0.32,0.19,5,3
39,577531.11,77,4737.64,0.68,0.13,13,1
45,2175196.21,49,4473.54,0.59,0.3,28,2
19,2373371.34,60,2155.3,0.6,0.78,43,0
59,1027276.89,88,3923.79,0.68,0.47,89,2
62,786249.98,86,2434.05,0.58,0.23,115,2
74,1663398.93,61,2537.95,0.43,0.17,99,3
70,1110525.3,25,1102.93,0.28,0.33,47,3
23,209657.94,72,2996.54,0.77,0.94,103,1
45,516958.6,54,1012.07,0.23,0.34,71,1
45,1832534.74,37,1724.67,0.69,0.99,38,0
61,1698471.26,95,4289.65,0.23,0.49,96,1
61,213675.58,11,1114.67,0.63,0.18,67,2
37,671634.58,74,448.68,0.75,0.89,62,0
47,693025.77,19,438.14,0.22,0.46,109,3
28,1728947.95,86,4709.84,0.06,0.71,39,1
75,196319.76,36,2583.91,0.13,0.98,37,3
72,394655.17,79,2106.12,0.61,0.05,119,2
45,2029802.8,24,4073.31,0.85,0.1,114,2
42,569579.96,92,4195.55,0.04,0.72,86,1
56,1683953.35,19,1727.74,0.73,0.28,8,0
50,709729.54,52,3498.73,0.34,0.18,81,1
18,383687.27,75,3878.5,0.48,0.04,52,1
74,721454.65,25,3307.79,0.93,0.02,91,2
44,1847327.29,46,842.82,0.33,0.77,33,0
74,2160886.7,30,4391.83,0.47,0.13,110,2
69,2101016.68,18,2741.56,0.01,0.47,81,3
30,1083381.29,61,1484.11,0.08,0.61,42,1
58,1720000.07,41,2183.62,0.26,0.43,76,3
20,631713.09,62,284.1,0.03,0.03,112,1
56,838897.17,25,726.55,0.63,0.78,110,2
23,2256389.17,86,3851.18,0.43,0.01,27,1
25,180554.52,73,100.06,0.55,0.76,112,1
44,350945.05,7,2141.17,0.17,0.89,8,3
26,638532.7,91,2660.3,0.3,0.43,23,1
54,212350.68,94,367.71,0.66,0.54,106,2
50,576373.27,41,4868.08,0.97,0.48,113,2
68,1520147.67,92,1208.01,0.05,0.39,64,3
59,1140347.69,53,1590.57,0.89,0.89,93,2
61,2247778.52,23,1589.32,0.58,0.89,114,2
41,2070992.37,93,1229.04,0.56,0.34,20,0
32,953270.78,89,107.22,0.5,0.62,16,0
71,759645.07,16,3673.79,0.07,0.93,17,3
49,1042277.16,65,4837.54,0.09,0.96,80,1
49,1537193.11,45,1199.04,0.6,0.51,19,0
41,779949.56,37,3348.93,0.34,0.45,120,1
58,1616749.93,54,3735.29,0.92,0.28,120,2
69,1112117.38,72,4257.28,0.41,0.96,8,3
66,1447310.88,75,2170.88,0.14,0.14,38,3
66,1174897.34,90,1584.36,0.71,0.58,38,2
75,841994.53,37,1693.95,0.29,0.28,53,3
69,2378865.27,85,3591.84,0.53,0.28,93,2
29,1944473.62,28,4102.22,0.7,0.4,105,1
56,479265.96,65,989.91,0.9,1.0,100,2
19,2190899.74,65,1917.61,0.79,0.05,90,0
20,1295463.32,32,4519.51,0.68,0.58,31,1
66,2252197.73,62,4052.8,0.68,0.08,44,2
54,2029659.85,47,4925.81,0.95,0.15,60,2
66,1149251.74,45,3795.82,0.3,0.44,76,3
73,202802.87,43,2026.66,0.0,0.51,119,3
34,781391.79,90,2994.13,0.27,0.26,17,1
66,1422840.4,53,3338.97,0.22,0.32,79,3
19,1638673.82,21,484.43,0.66,0.09,73,0
19,756036.06,74,2768.04,0.63,0.3,39,1
45,477486.77,74,3575.67,0.59,0.97,42,1
71,2112086.06,69,919.87,0.02,0.94,48,3
40,2463345.12,78,3925.1,0.73,0.33,12,0
54,1385371.93,89,2960.49,0.32,0.57,96,1
49,553446.32,9,4765.89,0.67,0.91,89,2
50,789922.22,6,307.87,0.56,0.01,103,0
18,193218.09,26,1400.1,0.34,0.81,18,0
36,2298602.2,61,3047.61,0.13,0.95,79,1
19,426715.04,70,1553.14,0.09,0.09,96,1
70,1504813.72,78,3600.68,0.83,0.16,6,2
61,794029.77,20,3819.13,0.92,0.96,108,2
43,1452318.31,55,602.33,0.65,0.54,43,0
49,1680837.91,43,2617.89,0.1,0.01,116,1
23,2099893.24,90,2593.56,0.4,0.26,35,1
49,635089.99,80,1909.48,0.73,0.45,98,2
72,175840.2,92,4671.33,0.78,0.69,102,2
21,471681.23,44,4154.78,0.12,0.73,120,1
72,2265043.81,42,3516.33,0.0,1.0,54,3
28,2203641.68,64,3600.2,0.71,0.29,62,1
73,1553920.79,63,2362.41,0.36,0.54,69,3
34,1561214.62,14,4612.87,0.25,0.53,82,1
55,1712836.19,68,3503.52,0.01,0.41,16,3
41,562122.5,67,3672.01,0.54,0.17,8,1
22,2298868.07,53,4322.29,0.85,0.98,89,1
69,1134110.73,68,1442.95,0.96,0.85,96,2
51,1050375.54,36,4054.65,0.57,0.5,90,2
23,1369456.61,11,1056.68,0.51,0.6,116,0
39,260370.02,25,1792.18,0.09,0.23,86,1
28,540765.92,24,1744.49,0.55,0.54,31,0
65,1884379.0,30,4894.77,0.38,0.69,107,2
33,344576.87,72,4297.03,0.61,0.52,10,1
50,1567407.46,90,3535.73,0.39,0.99,56,1
26,726570.41,19,3662.58,0.24,0.61,76,1
23,1064844.69,89,2854.16,0.09,0.37,117,1
33,828430.28,83,4740.74,0.31,0.77,92,1
46,985830.88,90,2531.67,0.1,0.17,70,1
20,1839757.88,96,1964.54,0.18,0.38,20,1
37,848236.03,18,898.87,0.99,0.35,5,0
53,1481050.9,31,3952.41,0.44,0.43,23,3
36,1268718.45,44,3698.78,0.53,0.78,9,0
43,1709627.24,62,1983.34,0.87,0.48,58,0
20,2351549.89,32,223.45,1.0,0.79,59,0
36,1871544.43,30,4211.09,0.58,0.58,93,1
37,655109.89,67,155.95,0.81,0.34,80,0
49,223280.37,70,3548.13,0.33,0.81,54,1
24,766320.5,29,4854.26,0.31,0.24,46,1
69,1548433.14,7,2244.54,0.4,0.22,22,3
58,270850.66,76,1251.37,0.67,0.5,64,2
50,1316460.68,48,3553.87,0.68,0.26,8,2
57,1552580.69,46,4103.93,0.32,0.01,20,3
56,935473.14,10,2777.51,0.13,0.65,51,3
35,1961643.68,43,4838.47,0.63,0.51,78,1
57,400505.89,56,353.18,0.13,0.45,39,3
18,326573.79,27,2573.5,0.58,0.97,37,0
28,1861243.58,93,3620.42,0.69,0.57,50,1
45,1314404.59,54,4326.94,0.7,0.86,34,2
74,1767745.63,47,978.35,0.75,0.14,75,2
42,1171844.25,23,4020.02,0.87,0.57,118,2
67,729044.78,73,2808.26,0.5,0.87,104,2
40,2074890.45,55,2043.11,0.73,0.58,33,0
48,2028627.32,15,745.4,0.62,0.72,31,0
47,1782536.71,16,4339.95,0.19,0.37,54,3
59,789541.07,78,870.64,0.03,0.09,44,3
52,1537042.07,12,1617.96,0.28,0.46,34,3
24,998288.66,28,1521.22,0.44,0.39,114,1
33,365217.87,96,4369.93,0.62,0.87,71,1
43,2305686.9,45,3396.24,0.85,0.24,113,2
65,471523.78,40,4003.74,0.2,0.97,118,3
74,2383057.78,89,1327.29,0.13,0.96,62,3
69,1198113.57,76,3161.88,0.96,0.25,23,2
66,585062.38,59,2901.56,0.11,0.35,46,3
19,1423467.23,13,4180.87,0.48,0.9,56,1
18,2201422.71,51,4539.83,0.59,0.97,7,0
65,1870728.48,19,159.57,0.54,0.44,118,2
29,2045418.7,52,3402.7,0.09,0.32,89,1
22,1698140.91,86,354.0,0.06,0.53,61,1
54,1776849.93,46,2789.41,0.11,0.69,3,3
49,2145609.78,64,1509.4,0.59,0.27,38,0
72,736719.82,88,1603.21,0.54,0.74,84,2
26,1300148.66,74,1829.5,0.23,0.05,34,1
58,669842.19,16,3144.33,0.64,0.05,113,2
52,2471019.82,6,1736.84,0.82,0.39,44,0
36,2368539.45,11,3690.23,0.04,0.35,108,1
65,242653.01,84,2082.18,0.5,0.32,30,3
33,1808101.66,7,434.93,0.69,0.49,17,0
20,2324333.55,7,3940.42,0.25,0.32,59,1
37,574352.06,31,1500.22,0.31,0.19,10,0
41,1484671.29,44,2220.56,0.61,0.31,99,2
71,2301397.5,37,3458.68,0.9,0.97,84,2
73,229773.05,96,1729.04,0.81,0.41,18,2
50,1788937.63,5,377.27,0.58,0.44,45,0
41,848770.17,12,1932.21,0.73,0.58,108,2
69,2322331.06,36,4727.8,0.36,0.98,91,3
28,2431986.88,52,3244.5,0.64,0.24,59,0
66,2369026.25,8,3390.25,0.47,0.68,62,3
25,1264403.41,98,3198.18,0.19,0.72,59,1
53,2175800.23,74,1075.06,0.7,0.61,49,0
55,2134691.09,23,2149.84,0.56,0.09,100,2
57,899886.11,36,3779.61,0.36,0.68,63,3
37,2097951.36,13,596.73,0.91,0.06,87,0
52,236967.94,16,1461.48,0.02,0.6,32,3
65,1551234.21,15,1453.96,0.32,0.74,10,3
42,690520.77,50,2216.89,0.06,0.21,11,3
52,433332.18,20,4903.81,0.77,0.84,102,2
42,330840.02,5,430.76,0.7,0.03,70,0
46,1786278.62,67,2641.63,0.33,0.84,105,1
35,948706.16,25,978.89,0.68,0.46,62,0
63,1853201.91,34,4856.32,0.4,0.22,47,3
35,303587.4,17,655.19,0.76,0.13,34,0
19,890932.29,38,2077.64,0.45,0.95,100,1
71,1417804.54,8,3715.64,0.41,0.07,101,2
52,2008199.44,32,3552.32,0.93,0.2,17,2
33,899068.38,99,2171.37,0.25,0.35,104,1
58,1620844.73,63,1797.97,0.12,0.62,104,3
53,2232047.71,31,2048.3,0.58,0.54,54,0
50,1597278.49,73,1394.95,0.97,0.13,76,2
21,697454.77,29,1106.13,0.38,0.29,85,0
50,207341.84,7,2466.89,0.06,0.24,40,3
31,2194732.35,72,1415.82,0.34,0.21,19,0
38,199983.12,29,1508.56,0.51,0.41,67,0
65,2205548.93,24,3318.1,0.16,0.7,82,3
37,1393002.26,38,4845.83,0.66,0.22,53,2
73,2356809.09,30,3057.82,1.0,0.37,115,2
25,2027140.6,9,477.2,0.45,0.39,64,0
24,2495145.16,65,470.36,0.35,0.98,83,0
20,974172.77,96,4761.97,0.4,0.95,47,1
34,1952892.48,97,1556.72,0.12,0.8,6,3
50,1094537.65,13,551.13,0.88,0.24,16,0
65,1277707.71,54,3035.32,0.41,0.07,72,3
29,1624637.84,10,3155.88,0.39,0.32,112,1
68,2203141.22,87,3277.67,0.66,0.27,18,3
39,2462596.15,64,1410.27,0.44,0.51,52,0
72,1955442.52,48,174.04,0.65,0.78,48,3
39,1131751.94,15,4828.58,0.06,0.86,43,1
63,1140188.96,70,1329.38,0.81,0.84,39,2
47,1883318.41,51,3412.53,0.94,0.36,49,2
55,711126.29,77,3562.49,0.65,0.69,113,2
55,409614.17,89,3089.04,0.95,0.31,12,2
62,983362.07,92,1633.25,0.15,0.06,109,3
68,825011.63,90,1428.37,0.48,0.7,10,3
71,846324.08,7,3028.57,0.6,0.01,71,2
25,698978.21,80,4343.87,0.58,0.41,110,1
44,248919.0,96,4739.0,0.4,0.33,55,1
44,192003.75,34,618.94,0.34,0.69,1,0
51,2471147.62,94,858.66,0.13,0.77,49,3
38,1155266.86,25,4729.21,0.39,0.3,36,1
47,1053167.62,32,3709.02,0.16,0.81,21,3
50,1747171.11,94,4426.67,0.73,0.29,37,2
45,662896.64,66,1092.9,0.21,0.45,116,1
64,2382408.78,37,2979.17,0.06,0.73,24,3
50,1997910.78,89,3535.58,0.55,0.69,55,1
22,360115.86,39,3432.55,0.6,0.99,25,1
65,1131314.82,56,2099.94,0.87,0.23,7,2
36,2215928.02,38,175.43,0.58,0.66,106,0
21,2370120.25,45,2956.34,0.35,0.61,81,1
52,1248393.55,55,1340.2,0.8,0.92,93,2
66,1591516.76,51,2306.25,0.54,0.16,94,2
34,542529.77,86,4792.15,0.08,0.75,71,1
61,2479246.27,62,2055.27,0.57,0.57,97,2
45,694428.5,79,4215.03,0.91,0.27,71,2
47,2365419.67,61,1023.85,0.4,0.47,24,0
46,1676669.63,27,3395.06,0.3,0.33,11,3
63,1578181.47,52,4887.33,0.14,0.58,73,3
70,1354818.0,26,599.28,0.15,0.89,12,3
23,692074.06,21,140.77,0.43,0.57,35,0
52,564840.88,73,2224.56,0.6,0.63,63,2
58,668142.59,15,553.86,0.08,0.52,68,3
54,588129.92,98,3767.08,0.94,0.05,100,2
41,1982023.51,19,4581.29,0.76,0.23,92,2
46,972794.36,95,2226.7,0.59,0.49,57,1
66,285930.29,39,1367.69,0.83,0.31,13,2
63,2427391.18,37,2228.58,0.08,0.18,23,3
70,2226896.83,88,3644.89,0.48,0.5,83,3
48,2330217.87,20,144.37,0.63,0.32,106,0
52,2488033.38,38,2988.32,0.83,0.26,101,2
50,558653.84,70,3105.13,0.78,0.46,39,2
69,1081168.74,44,3224.67,0.28,0.13,88,3
38,1931860.42,32,1285.91,0.94,0.93,80,0
49,1785648.45,51,3598.86,0.12,0.87,97,1
40,511655.38,43,547.82,0.88,0.71,12,0
50,2067207.84,74,1076.42,0.97,0.11,34,0
20,677435.34,77,4399.6,0.18,0.78,71,1
35,675971.39,24,3719.74,0.72,0.81,75,2
42,1411889.89,5,167.35,0.04,0.77,31,0
59,1543408.85,76,1317.04,0.41,0.11,93,3
48,1513202.59,91,1150.59,0.52,0.64,62,0
71,364994.07,67,1426.95,0.58,0.83,13,3
75,2212033.03,71,1313.04,0.94,0.58,31,2
20,774160.1,8,406.38,0.67,0.65,2,0
57,454360.07,62,2348.81,0.48,0.46,103,2
63,2238557.99,29,3690.39,0.81,0.53,15,2
41,2395781.02,51,3072.99,0.95,0.03,57,2
67,2175999.9,42,3397.07,0.02,0.64,75,3
49,2052362.78,19,497.63,0.98,0.08,34,0
64,1689818.65,67,4762.3,0.09,0.44,103,3
39,1444514.82,25,4208.61,0.81,0.29,68,2
40,354418.89,61,4044.94,0.28,0.55,75,1
19,1109865.05,57,4132.62,0.13,0.13,29,1
44,1025818.01,50,4670.28,0.44,0.69,66,1
59,760421.39,18,2766.84,0.64,0.8,16,2
19,1850037.27,80,1081.38,0.38,0.16,39,0
43,1315307.98,21,3122.24,0.05,0.1,77,1
34,340458.61,43,3740.12,0.6,0.15,37,1
57,667430.52,13,3715.8,0.9,0.88,81,2
50,1755658.09,81,2655.1,0.38,0.53,21,3
26,328907.52,83,435.45,0.22,0.47,44,1
60,2150336.25,86,1918.45,0.44,0.11,19,3
71,1313594.34,10,4611.76,0.05,0.65,71,3
65,1279378.46,95,2963.8,0.82,0.87,102,2
56,1542158.29,27,2737.83,0.83,0.83,8,0
46,2088000.27,63,1417.38,0.59,0.63,77,0
59,967351.64,95,1905.4,0.35,0.08,101,1
72,1743337.96,50,4487.2,0.8,0.11,66,2
43,1479470.12,42,3365.67,0.55,0.05,41,2
52,777516.43,18,3958.2,0.83,0.26,75,2
67,2214780.47,76,2326.29,0.63,0.14,88,2
42,2023951.15,66,3188.21,0.78,0.26,70,2
41,1697361.81,39,1317.08,0.6,0.39,61,0
30,2148867.06,23,3556.76,0.41,0.94,26,0
75,2188141.37,34,2195.25,0.96,0.61,71,2
24,1814653.0,82,2268.47,0.54,0.83,103,1
74,2116981.32,88,3281.68,0.61,0.71,83,2
53,1789057.93,29,4687.78,0.22,0.11,70,3
62,1748330.81,44,413.63,0.63,0.74,107,2
37,1603736.74,92,4141.24,0.57,0.28,29,1
18,1918884.1,18,1532.68,0.18,0.64,107,0
25,522722.0,30,2275.21,0.06,0.34,103,1
63,2220046.28,91,207.38,0.6,1.0,66,3
33,2198832.29,26,1575.13,0.76,0.26,19,0
31,218731.12,52,2562.89,0.52,0.28,68,1
29,2090669.36,87,375.26,0.23,0.93,58,0
68,452844.19,55,2506.37,0.67,0.02,70,2
40,937529.31,7,4642.84,0.08,0.7,113,1
32,1897244.4,46,616.43,0.44,0.73,57,0
45,527785.76,23,3845.76,0.16,0.84,37,3
51,2072222.51,77,2107.39,0.18,0.97,61,3
19,2105515.32,32,3310.35,0.2,0.98,92,1
49,1342549.17,88,1375.16,0.39,0.07,30,3
40,165006.8,49,881.51,0.05,0.82,71,1
39,824539.61,75,886.27,0.4,0.65,73,1
68,1599778.26,82,445.41,0.51,0.65,25,3
42,2455787.52,67,1009.67,0.48,0.13,97,0
75,1634761.79,77,3354.67,0.38,0.65,65,3
39,760538.42,23,4420.28,0.84,0.98,115,2
75,1639913.4,51,4089.22,0.15,0.91,6,3
75,1418965.64,18,3457.16,0.51,0.44,18,3
39,1982636.68,42,641.12,0.06,0.04,10,0
66,401404.5,57,1517.02,0.07,0.36,92,3
69,1938415.57,65,1618.05,0.57,0.83,11,3
59,1421976.46,40,1324.79,0.57,0.7,97,2
23,2413031.21,44,2623.53,0.88,0.46,65,0
32,953399.59,85,2724.21,0.56,0.06,77,1
71,1636661.45,34,1848.74,0.96,0.43,101,2
60,2340266.05,13,1833.57,0.05,0.47,84,3
54,390897.86,68,4159.92,0.1,0.93,65,1
50,2352486.95,37,3967.53,0.04,0.64,52,3
25,1766531.45,56,1608.2,0.19,0.31,67,1
70,309417.09,93,4577.56,0.54,0.53,82,2
61,857264.38,18,4768.79,0.65,0.07,105,2
61,1814204.41,79,1701.04,0.05,0.97,78,3
22,308273.91,57,1836.68,0.95,0.36,31,0
56,1518100.58,63,2577.61,0.84,0.48,91,2
21,962825.18,82,4711.49,0.3,0.36,17,1
23,1609151.47,98,4393.97,0.08,0.68,55,1
62,257493.78,45,602.58,0.17,0.66,110,3
49,2198111.49,72,2024.38,0.13,0.72,93,3
69,2437699.08,72,2811.52,0.12,0.27,36,3
47,2426862.96,96,2565.35,0.52,0.32,101,1
64,1911681.8,12,1049.93,0.25,0.13,26,3
52,455702.66,6,4308.2,0.36,0.66,53,2
72,1931918.51,90,3417.01,0.99,0.04,17,2
